Priority #,Feature #,Requirement ID,Feature Name,User Story,Priority Level,Story Size,Acceptance Criteria
1,1.1,1.1.1,View All Bookings,"As an admin, I should be able to view all training bookings across all trainers, so that I have complete visibility into scheduled sessions.",1 - Must,2 - Small,"Table must display all bookings across all trainers; columns must include date, time, session type, trainer, customer name, email, pet name, and price; table must be sortable and scrollable."
1,1.2,1.1.2,Filter Bookings,"As an admin, I should be able to filter the bookings table by date range and session type, so that I can drill into specific scheduling data.",1 - Must,2 - Small,"Filter must support date range (from/to); filter must support session type (Class / Individual); filtered results must update the table immediately."
1,1.3,1.1.3,Revenue Report,"As an admin, I should be able to generate an expected revenue report for a given date range, so that I can track projected income and platform fees.",1 - Must,3 - Medium,"Report must show gross revenue, 3% platform fee, and 97% trainer payout; report must break down revenue by trainer; report must filter by date range."
1,1.4,1.1.4,Business Report,"As an admin, I should be able to view a business report showing trainer payouts owed, projected revenue, and repeat customers, so that I can manage the financial health of the platform.",1 - Must,3 - Medium,"Report must show total amount owed to each trainer; report must show projected revenue from future bookings; repeat customers section must list customers with more than one booking sorted by count."
1,1.5,1.1.5,Trainer Offerings Report,"As an admin, I should be able to view a report of all trainer sessions with at-risk flags, so that I can identify sessions that may need to be cancelled due to low enrollment.",1 - Must,3 - Medium,"Report must list all offerings with title, trainer, type, date/time, price, booked/capacity, and min enrollment; rows with bookings below minimum must be highlighted; summary must show total offerings, at-risk count, and projected gross."
1,1.6,1.1.6,Pet Report,"As an admin, I should be able to view all registered pets and filter by breed, so that I can understand the customer base and trainer demand.",2 - Should,2 - Small,"Report must list all pets with name, breed, neutered/spayed status, owner name, and booking count; report must support filtering by breed."
1,1.7,1.1.7,Flagged Reviews,"As an admin, I should be able to view, flag, and unflag customer reviews, so that I can control the quality and credibility of public trainer ratings.",1 - Must,2 - Small,"Admin must see all flagged reviews with trainer name, customer, rating, comment, and flag reason; admin must be able to unflag a review to restore it to public visibility; flagged reviews must be hidden from all non-admin views."
2,2.1,2.1.1,Create Trainer Profile,"As a trainer, I should be able to create a profile with my display name, bio, specialties, and breed preferences, so that pet owners can find the right trainer for their dog.",1 - Must,2 - Small,"Profile must include display name, bio, specialties, and breed specialties fields; profile must save immediately on submit; profile must be visible to pet owners on the browse page."
2,2.2,2.1.2,Update Trainer Profile,"As a trainer, I should be able to update my profile at any time, so that my information stays current and accurate.",1 - Must,1 - XS,"All profile fields must be editable; changes must save and reflect immediately; success or error message must be displayed."
2,2.3,2.2.1,Schedule Sessions,"As a trainer, I should be able to create group classes and individual sessions with a set date, time, price, capacity, and minimum enrollment, so that pet owners can discover and book my offerings.",1 - Must,3 - Medium,"Trainer must set date, start/end time, session type, title, price (min $30), capacity, and minimum enrollment; session must appear on the browse page after creation; minimum price of $30 must be enforced."
2,2.4,2.2.2,Set Session Price,"As a trainer, I should be able to set the price for each session with a minimum of $30, so that customers know the cost and the platform fee is calculated correctly.",1 - Must,1 - XS,"Price field must reject values below $30 with an error message; valid prices must save and display on session cards; platform fee (3%) and trainer payout (97%) must calculate from this price."
2,2.5,2.2.3,Edit Session Time,"As a trainer, I should be able to adjust the date and time of an existing session, so that I can handle last-minute schedule changes.",1 - Must,2 - Small,"Trainer must be able to update date, start time, and end time on any of their sessions; changes must persist and reflect on the browse page and calendar."
2,2.6,2.2.4,Restrict Session by Breed,"As a trainer, I could specify which dog breeds are accepted for a given session, so that only compatible pets are booked.",3 - Could,2 - Small,"Trainer must be able to enter a comma-separated list of allowed breeds per session; sessions with breed restrictions must only appear in breed-filtered results for matching breeds; leaving the field blank accepts all breeds."
2,2.7,2.3.1,Create Training Packages,"As a trainer, I should be able to offer bundled session packages at a discounted total price, so that I can retain customers and encourage long-term commitment.",2 - Should,2 - Small,"Package must include title, description, number of sessions, and total price; package must display calculated per-session price; package must appear on the home page packages section."
2,2.8,2.4.1,View My Reviews,"As a trainer, I should be able to view all customer reviews and my overall average rating, so that I can understand my performance and improve my services.",2 - Should,1 - XS,"Reviews tab must display all reviews with star rating, customer name, comment, and date; overall average rating must be shown at the top; reviews must only show public (non-flagged) reviews."
3,3.1,3.1.1,Register and Login,"As a pet owner, I should be able to create an account and log in, so that my profile and booking history are saved and accessible.",1 - Must,2 - Small,"Registration must collect first name, last name, email, password, phone, and address; password must be hashed (BCrypt); login must return a JWT token; token must be stored and sent on protected requests."
3,3.2,3.1.2,Pet Owner Profile,"As a pet owner, I should be able to manage my profile including phone number and address, so that trainers have my contact information.",2 - Should,1 - XS,"Profile must store first name, last name, email, phone, and address; data must be pre-filled on booking forms when logged in."
3,3.3,3.1.3,Add Pet Profile,"As a pet owner, I should be able to add my pet's name, breed, and neutered/spayed status, so that my trainer is prepared before the session.",2 - Should,2 - Small,"Pet profile must capture name, breed, birth date, and neutered/spayed status; pet must be selectable when booking a session; multiple pets per owner must be supported."
3,3.4,3.2.1,View Available Sessions,"As a pet owner, I should be able to browse all available upcoming group classes and individual sessions, so that I can find and compare training options.",1 - Must,2 - Small,"Browse page must display all active upcoming sessions as cards; each card must show title, trainer, date/time, session type, price, spots left, minimum enrollment, and average trainer rating; fully booked sessions must be clearly indicated."
3,3.5,3.2.2,Filter Sessions,"As a pet owner, I should be able to filter available sessions by type, breed, and date range, so that I can quickly find sessions that match my schedule and dog's needs.",1 - Must,2 - Small,"Filter must support session type (All / Class / Individual); filter must support breed text search; filter must support date range (from/to); filters must update results immediately on apply."
3,3.6,3.2.3,Book a Session,"As a pet owner, I should be able to select an available session and confirm a booking, so that I can secure a training slot for my dog.",1 - Must,3 - Medium,"Booking form must collect customer name, email, phone, and optional pet name; confirmed booking must reduce available spots by 1; confirmation message must be shown; fully booked sessions must not allow new bookings."
3,3.7,3.2.4,Purchase a Package,"As a pet owner, I should be able to purchase a training package, so that I get a discounted rate for bundled sessions and coordinate scheduling with my trainer.",2 - Should,2 - Small,"Package purchase form must collect name, email, and phone; confirmed purchase must show success message; package must appear in the trainer's package bookings count."
3,3.8,3.2.5,Rate and Review a Trainer,"As a pet owner, I should be able to leave a star rating and comment for a trainer after completing a session, so that I can help other pet owners make informed decisions.",2 - Should,2 - Small,"Review form must appear on My Bookings for completed sessions without a prior review; review must include rating (1-5 stars) and a comment; submitted review must update the trainer's average rating on the browse page."
3,3.9,3.3.1,View Session Calendar,"As a pet owner, I should be able to view a monthly calendar showing all available sessions, so that I can plan ahead and visualize scheduling options.",2 - Should,3 - Medium,"Calendar must display a full month with navigation (previous/next); each day must show color-coded dots for sessions (green = Individual, blue = Class, grey = Full); clicking a day must display a detail panel with all sessions for that day."
4,4.1,4.1.1,Homepage with Packages,"As a visitor, I should be able to view training packages and business information on the home page without logging in, so that I can evaluate LTS before creating an account.",2 - Should,2 - Small,"Home page must display all active training packages with title, trainer, price, and per-session rate; home page must include a session search widget; home page must not require login to view."
4,4.2,4.1.2,Sponsored Advertising,"As a platform, the site should display discreet sponsored dog food advertising on the home page, so that LTS can generate supplemental revenue through partnerships.",3 - Could,1 - XS,"Sponsored bar must appear on the home page with brand logo images, brand name, and one-line description; bar must be clearly labeled Sponsored; ads must be non-intrusive and not pop-up based."
